Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
4924-657-MSITS2a.extendedFrags	97.8223220013	43.0	254.247177678	31180.0	50.0
4924-658-MSITS2a.extendedFrags	97.2785681505	44.0	261.042680128	21790.0	41.6666666667
4924-659-MSITS2a.extendedFrags	97.4426710695	45.0	258.800587048	27255.0	41.6666666667
4924-660-MSITS2a.extendedFrags	97.4427315949	45.0	261.058060798	27764.0	41.6666666667
4924-662-MSITS2a.extendedFrags	98.1712709137	40.0	236.138657989	28271.0	41.6666666667
4924-663-MSITS2a.extendedFrags	98.0980375205	40.0	235.503414887	23134.0	41.6666666667
4924-664-MSITS2a.extendedFrags	98.1233243968	39.0	231.494712541	13428.0	50.0
4924-665-MSITS2a.extendedFrags	98.05812359	39.0	231.21506613	22607.0	41.6666666667
4924-667-MSITS2a.extendedFrags	97.9808993834	42.0	238.654384118	26596.0	41.6666666667
4924-668-MSITS2a.extendedFrags	98.1198335945	39.0	233.85558377	18509.0	50.0
4924-669-MSITS2a.extendedFrags	98.1083404987	40.0	234.117482011	22097.0	41.6666666667
4924-670-MSITS2a.extendedFrags	98.0665745988	40.0	234.360017144	20999.0	50.0
4924-672-MSITS2a.extendedFrags	98.146475928	39.0	239.63533102	21041.0	50.0
4924-673-MSITS2a.extendedFrags	97.5675260896	39.0	231.157151627	13032.0	41.6666666667
4924-674-MSITS2a.extendedFrags	97.7966756861	39.0	233.572477773	12935.0	41.6666666667
4924-675-MSITS2a.extendedFrags	98.1300089047	39.0	231.644108044	16845.0	41.6666666667
4924-677-MSITS2a.extendedFrags	98.0956864088	40.0	236.741526874	23368.0	41.6666666667
4924-678-MSITS2a.extendedFrags	97.8928648416	40.0	233.554429834	18556.0	41.6666666667
4924-679-MSITS2a.extendedFrags	98.0819260108	39.0	229.308435116	22679.0	50.0
4924-680-MSITS2a.extendedFrags	98.6115121132	40.0	230.974776241	38099.0	50.0
4924-692-MSITS2a.extendedFrags	98.5737562689	52.0	271.018558097	47257.0	50.0
4924-693-MSITS2a.extendedFrags	98.5121057201	52.0	270.462067136	41468.0	50.0
4924-694-MSITS2a.extendedFrags	97.9379196094	47.0	256.893844276	22938.0	50.0
4924-695-MSITS2a.extendedFrags	98.5025951954	52.0	270.354692021	43542.0	50.0
4924-697-MSITS2a.extendedFrags	98.4798005972	52.0	271.757286345	40521.0	41.6666666667
4924-698-MSITS2a.extendedFrags	98.1398432321	51.0	270.706157626	25643.0	50.0
4924-699-MSITS2a.extendedFrags	98.0076499517	48.0	263.461056702	23791.0	50.0
4924-700-MSITS2a.extendedFrags	97.906742997	48.0	263.130752087	22883.0	50.0
